enabled,id,titre,annee,session,zone,pdf_path,sha256,notes
1,2025-jour-1-g1-25matj1g111,Mathématiques 2025 — Jour 1 — Centres étrangers groupe 1,2025,Jour 1,Centres étrangers groupe 1,pdf/25-matj1g11v2v1-123785.pdf,56e57334bca3ad0ca3f6f35ef15976b1f9f9cf15e7c454438198697e2b3bbf41,Code détecté (première page) : 25MATJ1G111 ; zone=G1.
1,2025-jour-1-ja-25matj1ja11,Mathématiques 2025 — Jour 1 — Asie,2025,Jour 1,Asie,pdf/25-matj1ja1v1pdf-113103.pdf,50b815f0fd1c6a7140daa74b2f3a8092f6f5e13ac11f59ceaecc8e4a1b5ed2ea,Code détecté (première page) : 25MATJ1JA11 ; zone=JA.
1,2025-jour-1-me-25matj1me1page1,"Mathématiques 2025 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2025,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/25-matj1me1v1pdf-112641.pdf,5e1d703ab46c22c7387e414702e5580948db539b187299d7418ca47663b78fba,Code détecté (première page) : 25MATJ1ME1PAGE1 ; zone=ME.
1,2025-jour-1-me-25matj1me3page1,"Mathématiques 2025 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2025,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/25-matj1me3v1pdf-120399.pdf,1809daa892aad94be428e4057ed85ecdfd98b48fd76d5b92dedbce9d1bc9e07d,Code détecté (première page) : 25MATJ1ME3PAGE1 ; zone=ME.
1,2025-jour-1-nc-25matj1nc1page,Mathématiques 2025 — Jour 1 — Nouvelle-Calédonie,2025,Jour 1,Nouvelle-Calédonie,pdf/25-matj1nc1v1pdf-123677.pdf,dcc7c0edd535cf2c02c886f31ac443735da378b90ec1a99da3b5eab4e314da7f,Code détecté (première page) : 25MATJ1NC1PAGE ; zone=NC.
1,2025-jour-1-po-25matj1po1page,Mathématiques 2025 — Jour 1 — Polynésie,2025,Jour 1,Polynésie,pdf/25-matj1po1v1pdf-112962.pdf,ef3003b566c94f592a6cdca7ce02ef329f1c608c362015035566477e98cb0b1e,Code détecté (première page) : 25MATJ1PO1PAGE ; zone=PO.
1,2025-jour-1-po-25matj1po3page,Mathématiques 2025 — Jour 1 — Polynésie,2025,Jour 1,Polynésie,pdf/25-matj1po3v1pdf-120525.pdf,7cd7b3460eb531d91c4dee5077c91773ff91515b2ea9a54b7b9f531cb1b6fb8a,Code détecté (première page) : 25MATJ1PO3PAGE ; zone=PO.
1,2025-jour-2-g1-25matj2g111,Mathématiques 2025 — Jour 2 — Centres étrangers groupe 1,2025,Jour 2,Centres étrangers groupe 1,pdf/25-matj2g11v2v1-123782.pdf,9580b5cec11077c2252f74fcef2399d03772cc3a28adb3246e7f2662fbe05453,Code détecté (première page) : 25MATJ2G111 ; zone=G1.
1,2025-jour-2-ja-25matj2ja11,Mathématiques 2025 — Jour 2 — Asie,2025,Jour 2,Asie,pdf/25-matj2ja1v1pdf-113106.pdf,74f2142a71f55483f343bd7e180174aec073e563842057f2e50ac6a9dbe42eab,Code détecté (première page) : 25MATJ2JA11 ; zone=JA.
1,2025-jour-2-me-25matj2me1page1,"Mathématiques 2025 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2025,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/25-matj2me1v1pdf-112644.pdf,51dae3cbb877833c4697d712b989e794c488f3cc5aa9f0262235339fa9f3b93b,Code détecté (première page) : 25MATJ2ME1PAGE1 ; zone=ME.
1,2025-jour-2-me-25matj2me3page1,"Mathématiques 2025 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2025,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/25-matj2me3v1pdf-120402.pdf,2c7174c69e4ce404dde9d102d755f962d9cab287440e36002df3dbf8a71422a1,Code détecté (première page) : 25MATJ2ME3PAGE1 ; zone=ME.
1,2025-jour-2-nc-25matj2nc1page,Mathématiques 2025 — Jour 2 — Nouvelle-Calédonie,2025,Jour 2,Nouvelle-Calédonie,pdf/25-matj2nc1v1-123674.pdf,0a2bac0a873f68905bdde1976267c2f9e7f1a1ca1ea7f1be1780288366768472,Code détecté (première page) : 25MATJ2NC1PAGE ; zone=NC.
1,2025-jour-2-po-25matj2po1page,Mathématiques 2025 — Jour 2 — Polynésie,2025,Jour 2,Polynésie,pdf/25-matj2po1v1pdf-112965.pdf,289bd517192ed4eb454b68680d0529c0e2244cbdd9caf8db9882dfd4e2016af1,Code détecté (première page) : 25MATJ2PO1PAGE ; zone=PO.
1,2022-jour-1-me-22matj1me1page1,"Mathématiques 2022 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/baccalaur-g-n-ral-2022-math-matiques-1142360pdf-96390.pdf,3b40da20dd6d54297ec6fd822eb23ea5a9612af5a9ad8b7f1bbb777d4b0e363e,Code détecté (première page) : 22MATJ1ME1PAGE1 ; zone=ME.
1,2022-jour-2-lr-22matj2lr1page,Mathématiques 2022 — Jour 2 — La Réunion,2022,Jour 2,La Réunion,pdf/baccalaur-g-n-ral-2022-math-matiques-jour-2-114656pdf-96054.pdf,55d8859655fb12bcddbdb45a3423845ca44a116f23fbde5d7db08c44067e4282,Code détecté (première page) : 22MATJ2LR1PAGE ; zone=LR.
